County,Facility Name,Facility Address,City,Is the pool indoor or outdoor,Pool Size_sf,Pool Volume_gal
SENECA,Meadowbrook Park Pool,"5430 W. Tiffin St., 44809",Bascom,OUTDOOR,10800,300000
SENECA,Tiffin Municipal Pool,"480 Coe St., 44883",Tiffin,OUTDOOR,8950,300000
HAMILTON,Wyoming Family Aquatic/Tri-Pool,"9940 Springfield Pike, 45215",Cincinnati,OUTDOOR,6552,298000
DELAWARE,Hayes Colony Swim Club,470 McKinley Ln,Delaware,OUTDOOR,7200,296250
UNION,Scotts Miracle Gro - Pool,"13800 Industrial Pkwy, 43040",Marysville,OUTDOOR,7201,296250
PIKE,Pike County Swim Club,522 East Fifth St.,Waverly,OUTDOOR,7599,295825
PUTNAM,Ottawa Memorial Pool,"730 N. Locust St., 45875",Ottawa,OUTDOOR,7660,295749
CUYAHOGA,Purvis Park Community - Pool,"14260 Cedar Rd, 44118",University Hts,OUTDOOR,11170,295436
COLUMBUS CITY,Swimming Inc. (Middle),"400 W. Dublin Granville Rd, 43085",Worthington,OUTDOOR,8020,295000
DELAWARE,Kinsale Diving Well,"3737 Village Club Dr, 43065",Powell,OUTDOOR,7012,292000
HOLMES,Loudonville Swimming Pool,"7725 TR 455, 44842",Loudonville,OUTDOOR,7200,290000
KNOX,Hiawatha Water Park/Pool,"100 Sychar Rd,",Mt. Vernon,OUTDOOR,6357,289984
CRAWFORD,Crestline Municipal Pool,"1000 Cross St., 44827",Crestline,OUTDOOR,9505,289000
CUYAHOGA,Richmond Hts Muni,"27285 Highland Rd, 44143",Richmond Heights,OUTDOOR,5123,288165
CUYAHOGA,Richmond Hts Muni- Pool,"27285 Highland Rd, 44143",Richmond Hts,OUTDOOR,5123,288165
SHARONVILLE CITY,Aquatic Center ( Comp. Pool),"10990 Thornview Dr, 45241",Sharonville,OUTDOOR,6545,288000
CUYAHOGA,Beachwood H/S Pool,"25100 Fairmount Blvd, 44122",Beachwood,INDOOR,5670,286000
GREENE,Five Seasons Sports - Outdoor Big,"4242 Clyo Road Rd, 45440",Dayton,OUTDOOR,7372,283680
GALION CITY,Heise Park Pool,"Heise Park Lane, 44833",Gailon,OUTDOOR,8213,283093
GREENE,Wright State Univ. Pool,"3640 Col. Glenn Hwy., 45435",Dayton,INDOOR,13000,282611
CUYAHOGA,Hathaway Brown School,"19600 North Park Blvd, 44122",Shaker Heights,INDOOR,5850,282296
FRANKLIN,Canal Winchester Muncipal Main,"180 Groveport Rd, 43110",Canal Winchester,OUTDOOR,4838,281911
WARREN CITY,Warren G. Harding High School,"860 Elm Rd, NE, 44483",Warren,INDOOR,10100,281568
Allen,Lima Family YMCA Therapy Pool,"345 S. Elizabeth St, 45801",Lima,INDOOR,4500,280000
CLARK,The Pool at New Carlisle,"301 E. Lake Ave, 45344",New Carlisle,OUTDOOR,8500,280000
FRANKLIN,Grandview Heights Municipal Pool Competition,"1350 Goodale Blvd, 43212",Grandview,OUTDOOR,10500,280000
MARION,Sunswim Swimming Pool,Sugar St. 43342,Prospect,OUTDOOR,5139,280000
NOBLE,Buffalo Hills Outdoor Resort,"54780 Opossum Run Rd, 43780",Salesville,OUTDOOR,4452,280000
NOBLE,Buffalo Hills Outdoor Resort,"54780 Opossum Run Rd, 43780",Seneca,OUTDOOR,4452,280000
FRANKLIN,Brookside Country Club Pool,"2770 W. Dublin Granville Rd, 43235",Columbus,OUTDOOR,7075,279700
JEFFERSON,Margaret Ann Wading Pool,"315 Washington St., 45656",Village of Oak Hill,OUTDOOR,7980,278000
FULTON,Wauseon Pool,"621 E. Oaks Street, 43567",Wauseon,OUTDOOR,7880,277900
CUYAHOGA,Rocky River Muni Pool,"21018 Hilliard Blvd, 44116",Rocky River,OUTDOOR,5815,277000
WARREN,Life Time Fitness - Outdoor Pool,"8310 Wilkens Blvd, 45040",Mason,OUTDOOR,10900,276700
WARREN,Life Time Fitness Outdoor Pool,8310 Wilkens Blvd,Mason,OUTDOOR,10900,276700
HENRY,Napoleon High School Pool,"701 Briarheath Dr, 43545",Napoleon,INDOOR,4972,275050
BELMONT,Village of Shadyside,W. 39th St.,Shadyside,OUTDOOR,8500,275000
NEW PHILADELPHIA,Tuscora Park,"161 Tuscora Ave NW, 44663",New Philadelphia,OUTDOOR,9750,275000
CINCINNATI CITY,Lincoln Pool (50 Meter),"1027 Linn St., 45203",Cincinnati,OUTDOOR,9075,274873
UNION,Pastime Park - Pool,"160 W. Second St., 43064",Plain City,OUTDOOR,6700,272000
CINCINNATI CITY,Cincinnati Country Club,"2348 Grandin Rd, 45208",Cincinnati,OUTDOOR,5166,271215
