County,Facility Name,Facility Address,City,Is the pool indoor or outdoor,Pool Size_sf,Pool Volume_gal
CUYAHOGA,Meridian Condo Inc. -Outdoor,"12550 Lake Ave., 44107",Lakewood,OUTDOOR,1456,34050
BUTLER,Arbor Pointe Apts.,"100 Buckhead Dr., 45014",Fairfield,OUTDOOR,1500,34000
CINCINNATI CITY,Reserve of Turpin Homeowners Assoc.,"2497 Coveyrun Ct, 45230",Cincinnati,OUTDOOR,1499,34000
CLERMONT,Tall Timbers MHP,"2780 Lindale Mt. Holly Rd, 45102",Amelia,OUTDOOR,800,34000
COLUMBUS CITY,Chelsea Square,"4120 Quentin Blvd., 43230",Columbus,OUTDOOR,1720,34000
COLUMBUS CITY,Chelsea Square Apartments,4120 Quentin Blvd,Gahanna,OUTDOOR,1720,34000
HAMILTON,Village Square Townhouses,1740 Bising Ave,Cincinnati,OUTDOOR,1155,34000
HAMILTON CITY,Kingston Greene Apts,"153 A2 Timberhill Dr., 45013",Hamilton,OUTDOOR,1250,34000
LORAIN,Village on the Green Apts.,264 Moore Rd. Apt 5-D,Avon Lake,OUTDOOR,840,34000
MERCER,Pirate's Club Condos Swimming Pool,"117 S. Enterprise, 45822",Celina,OUTDOOR,1182,34000
MONTGOMERY,Wilmington Pointe,"933 Wilmongton Avenue, 45420",Dayton,OUTDOOR,1000,34000
MONTGOMERY,Wilmington Pointe,"933 Wilmington Ave, 45420",Dayton,OUTDOOR,1000,34000
TRUMBULL,Shadow Run Apts,"518 W. Liberty St, 44425",Hubbard,OUTDOOR,800,34000
COLUMBUS CITY,Great North Woods,"5560 Great Woods Blvd, 43231",Columbus,OUTDOOR,1300,33810
CINCINNATI CITY,Snap Fitness Carew Tower,"441 Vine St. Sutie 100LL, 45202",Cincinnati,INDOOR,1125,33750
CINCINNATI CITY,Brookstone Village,"3515 Brookstone Dr, 45209",Cincinnati,OUTDOOR,1100,33750
CINCINNATI CITY,Brookstone Village,3515 Brookstone Dr,Cincinnati,OUTDOOR,1100,33750
CINCINNATI CITY,Forum Apts.,"717 Martin Luther King Dr, 45220",Cincinnati,INDOOR,1000,33750
COLUMBUS CITY,The Residences of Breckenridge,"5160 Preferred Pl., 43026",Hilliard,OUTDOOR,1125,33750
COLUMBUS CITY,Eden of Easton Apartments,"4333 Chesford Rd, 43224",Columbus,OUTDOOR,1100,33750
ERIE,Vermilion Shores Athletic Club,"205 Pebble Shores Ave, 44089",Vermilion,OUTDOOR,15000,33750
FRANKLIN,Parkway Village Apts. Pool,"4333 Parkway Village, 43123",Grove City,OUTDOOR,1125,33750
HAMILTON,Jordan Ridge Homeowners Assoc.,"8125 Jordan Ridge Dr, 45002",Cleves,OUTDOOR,1000,33750
WOOD,Wagoner Home Rental,"25150 Ella St. #21, 43551",Perrysburg,OUTDOOR,2275,33750
WOOD,Owens Lake Commons,"6657 Owens Lake Dr, 43465",Walbridge,OUTDOOR,1125,33750
CUYAHOGA,Three Village Condo,"5200 Three Village Dr, 44122",Lyndhurst,INDOOR,1000,33700
HAMILTON,Arbor Woods Condominiums,"4900 North Arbor Woods Ct., 45248",Cincinnati,OUTDOOR,1221,33660
CLERMONT,Pebblebrooke,"1288 Pebble Brooke, 45150",Milford,OUTDOOR,800,33630
COLUMBUS CITY,LA Fitness & Pro Results,"5959 N. Hamilton Rd, 43026",Columbus,INDOOR,1121,33624
CINCINNATI CITY,Indian Lookout Apts.,"98 Anderson Ferry Rd, 45238",Cincinnati,OUTDOOR,1120,33600
COLUMBUS CITY,Crowne Plaza Columbus North,"6500 Doubletree Ave, 43229",Columbus,INDOOR,820,33600
ERIE,Creekside Membership Inc,"761 Chestnut Lane, 44839",Huron,OUTDOOR,1250,33600
HAMILTON CITY,Westbrook Apts.,"190 Westbrook Dr., 45013",Hamilton,OUTDOOR,960,33600
LORAIN,Meadow Oaks Apts,1750H Cooper Foster Park Rd,Lorain,OUTDOOR,800,33600
MIAMI,Towne Park Apts. Pool,"1850 Towne Park Dr, 45373",Troy,OUTDOOR,1120,33600
WARREN,Super 8 - Mason,"5589 Kings mills Rd, 45040",Mason,OUTDOOR,1805,33600
CUYAHOGA,Mornington Ln Condo Pool,"1965 Mornington Ln., 44106",Cleveland Hts.,OUTDOOR,1200,33525
Allen,Indian Village,"3850 Delong Rd, 45804",Lima,OUTDOOR,1250,33500
LAKE,Concord Commons Condo,"9800 Old Johnnycake Ridge, 44077",Concord,OUTDOOR,450,33245
CLERMONT,Lori's H20 Skills,"5610 Wolfpen Pleasant Hill Rd, 45150",Milford,INDOOR,950,33100
ASHTABULA,Dian's Poolside Motel Inc.,"5169 Lake Rd East, 44041",Geneva-on-the-Lake,OUTDOOR,800,33000
BUTLER,Hickory Creek Condos,"6080 Boymel Dr., 45014",Fairfield,OUTDOOR,800,33000
CHAMPAIGN,Meadows of N. Lewisburg,"701 W. Mill St. #201, 43060",Lewisburg,OUTDOOR,800,33000
CINCINNATI CITY,Lindel Apts.,"1031 Delta Ave., 45208",Cincinnati,OUTDOOR,850,33000
CINCINNATI CITY,Harbour Towne Yacht Club,5001A kellogg Ave,Cincinnati,OUTDOOR,800,33000
CINCINNATI CITY,Sutton Place Apartments,"8 Deliquia Place, 45230",Cincinnati,OUTDOOR,800,33000
CINCINNATI CITY,Sutton Place Apts.,"8 Deliquia Pl, 45230",Cincinnati,OUTDOOR,800,33000
CLARK,Quality Inn & Conference Cir,"383 E. Leffel Ln, 45505",Springfield,INDOOR,1080,33000
CLERMONT,Day Heights Meadows,"8 Meadow Dr, 45150",Milford,OUTDOOR,800,33000
CLEVELAND CITY,Kamden Village,"3625 W. 147th, 44111",Cleveland,OUTDOOR,1500,33000
CLEVELAND CITY,Sisters of St. Joseph,3430 Rocky River Dr,Cleveland,INDOOR,1250,33000
COLUMBUS CITY,Gaslight Village,4544 Maize Rd,Columbus,OUTDOOR,80000,33000
COLUMBUS CITY,Courtyard by Columbus West,"2350 Westbelt Dr., 43228",Columbus,INDOOR,1300,33000
COLUMBUS CITY,Timber Trail Apts. LLC,"2414 Timber Trail Dr., 43224",Columbus,OUTDOOR,1050,33000
CUYAHOGA,Kingswood Club - Pool,"831 Brick Mill Run, 44145",Westlake,INDOOR,1104,33000
CUYAHOGA,Bonneville Towers Pool,"25801 Lakeshore Blvd, 44123",Euclid,OUTDOOR,819,33000
CUYAHOGA,Randall House-Pool,"19420 Lorain Rd, 44126",Fairview Park,OUTDOOR,800,33000
CUYAHOGA,Mesivta High School -Pool,"1975 Lyndway Rd, 44121",Lyndhurst,OUTDOOR,800,33000
CUYAHOGA,Courtyard Condo - Pool,"28200 Detroit Rd, 44145",Westlake,OUTDOOR,800,33000
CUYAHOGA,The Envoy Condo,"11811 Lake Ave, 44107",Lakewood,OUTDOOR,750,33000
ERIE,Rodeway Inn,"5410 Milan Rd, 44870",Sandusky,OUTDOOR,850,33000
ERIE,Concord Glen Condo Assoc.,"500 Block Of Liberty Dr., 44839",Huron,OUTDOOR,800,33000
ERIE,Sandpiper Cove Apts,"535 Cleveland Rd, 44839",Huron,OUTDOOR,800,33000
LORAIN,Devonshire Meadows,"2718 Shakespeare Ln, 44011",Avon,OUTDOOR,300,33000
MONTGOMERY,Firwood Apts,"344 Firwood Dr, 45419",Dayton,OUTDOOR,800,33000
PIKE,Bristol Village Pool,660 East Fifth St.,Waverly,INDOOR,1000,33000
PORTAGE,Suttons Crossing Apts.,"3814 Cascades Blvd, 44240",Kent,OUTDOOR,1333,33000
PREBLE,Hueston Woods Resort (Indoor),"5201 Lodge Rd, 45003",College Corner,INDOOR,1750,33000
WARREN CITY,"New Candlelight Apt, LLC","1006 Harvard Dr., SE, 44484",Warren,OUTDOOR,952,33000
WOOD,Nothwood Village,"2480 Tracy Rd, 43619",Northwood,OUTDOOR,800,33000
CANTON CITY,Legends Pointe Apts.,"1815 Trinity Pl NW, 44709",Canton,OUTDOOR,908,32955
FAIRFIELD,Jackson Lake Park,"3715 Cedar Hill Rd, 43110",Canan Winchester,OUTDOOR,1999,32931
BUTLER,Evergreen Farm Estates,6384 Evergreen Dr,Middletown,OUTDOOR,800,32912
WAYNE,Wooster Best Western,243 E. Liberty St.,Wooster,OUTDOOR,800,32912
LAKE,Pine Ridge Valley Apts (I),"2252 Par Lane, 44094",Willoughby,INDOOR,1284,32824
MAHONING,Lake Milton Commons Condos,528 Milton Commons Blvd,Lake,OUTDOOR,886,32815
MEDINA,Camp Paradise Pool,"4279 Paradise Rd, 44273",Seville,INDOOR,1200,32800
PORTAGE,Campus Pointe,"1841 Ashton Lane, 44240",Kent,OUTDOOR,1250,32800
COLUMBUS CITY,Alexander Court Apts.,"135 Reynoldsburg- New Alb Rd, 43068",Reynoldsburg,OUTDOOR,1160,32750
CUYAHOGA,Stone Ridge Apts,"1000 Stone Ridge Cir, 44017",Berea,OUTDOOR,1250,32725
LORAIN,Somerset Apts Pool,"181 Somerset, 44012",Avon Lake,OUTDOOR,1375,32725
PORTAGE,Lakeside Terrace,9140 Sandpiper Dr.,Streetsboro,OUTDOOR,1400,32725
SUMMIT,Linden Lane Apartments,3504 Wyoga Lake Rd,Cuyahoga Falls,OUTDOOR,1250,32725
COLUMBUS CITY,Palmer House,"4121 E Palmer Park Cir, 43054",New Albany,OUTDOOR,1380,32700
BUTLER,Fairfield Pointe Apts,2400 Albemarle Dr,Fairfield,OUTDOOR,1077,32666
COLUMBUS CITY,Wilson Plaza,"169 Wilson Rd, 43204",Columbus,OUTDOOR,900,32600
LORAIN,Village At Avon,"36550 Chester Rd., 44011",Avon,OUTDOOR,1200,32500
CUYAHOGA,Vineyards Apts.-Pool,"1200 Vineyard Dr., 44147",Broadview Hts,OUTDOOR,800,32450
CUYAHOGA,Tudor House Pool,"4849 Grace Ave #231, 44070",N. Olmsted,OUTDOOR,800,32450
COLUMBIANA,Camp P'Na Sportsman,"7070 Rochester Rd, 44625",East Rochester,OUTDOOR,786,32400
WARREN,Eagle View Village,"6405 Eagle View Dr., 45040",Mason,OUTDOOR,180,32363
CINCINNATI CITY,Montclair In The Woods Apts.,"3482 Hazelwood Ave, 45211",Cincinnati,OUTDOOR,860,32250
CLERMONT,Village at Royal Oak Condos,"1023 Cedar Ridge Dr., 45245",Cincinnati,OUTDOOR,1585,32250
CLERMONT,East Point Apt.,749 St. Rt. 125 45245,Cincinnati,OUTDOOR,1125,32250
SHELBY,Days Inn,"420 folkerth, 45365",Sidney,OUTDOOR,1075,32200
SHELBY,Days Inn,"400 Folkerth Ave, 45365",Sidney,OUTDOOR,1075,32200
BUTLER,Lakota Springs,7690 Lakota Springs Drive,West Chester,OUTDOOR,1074,32134
ERIE,KI Venture Resort Pool,"441 W. Lakeshore, 43438",Kelly's Island,OUTDOOR,1068,32040
BELMONT,Days Inn,"52601 Holiday Drive, 43950",St. Clairsville,INDOOR,1250,32000
BUTLER,Rolling Meadows Condos,"1590 Gelhot Dr, 45014",Fairfield,OUTDOOR,1032,32000
CINCINNATI CITY,Panorama Apts.,"2375 Montana Ave, 45211",Cincinnati,OUTDOOR,1508,32000
CINCINNATI CITY,River Bend Apts,"163 Anderson Ferry Rd, 45238",Cincinnati,OUTDOOR,1000,32000
CLERMONT,Millcroft Apt. & Townhomes,"10 Commons Dr, 45150",Milford,OUTDOOR,800,32000
CLERMONT,Hilltop Estates MHP,"2755 St. Rt. 132, 45157",New Richmond,OUTDOOR,800,32000
COLUMBUS CITY,Holiday Inn,"7007 N. High St., 43085",Worthington,INDOOR,12900,32000
COLUMBUS CITY,Brice Grove Park,"6617 Brice Grove Blvd, 43110",Canal Winchester,OUTDOOR,995,32000
COLUMBUS CITY,Greystone Manor,"5335 Darlington Rd, 43220",Columbus,OUTDOOR,830,32000
CUYAHOGA,Polo Club Apts. - Pool,"14400 Howe Rd, 44136",Strongsville,OUTDOOR,400,32000
FRANKLIN,Pickerington Ridge Apts,"51 Great Trail Cir, 43147",Pickerington,OUTDOOR,1128,32000
GEAUGA,West Geauga Recreation Council,8611 Cedar Rd,Chesterland,OUTDOOR,120,32000
HAMILTON,Fallsington Grant Homeowners,"10745 Fallsington Ct, 45240",Cincinnati,OUTDOOR,800,32000
HAMILTON,The Timbers,"9980 Timbers Dr, 45242",Cincinnati,OUTDOOR,800,32000
HAMILTON,Village of Kenwood Condo,"7641 Montgomery Rd, 45236",Cincinnati,OUTDOOR,800,32000
JEFFERSON,Colonial Arms Apts,403 Colonial Arms Dr,Steubenville,OUTDOOR,1032,32000
LORAIN,Portside at Mariner's Watch,"100 Mariner's Circle, 44054",Shefield Lake,OUTDOOR,1250,32000
MASSILLON CITY,Rolling Hills Village Pool,"721 27th St., 44647",Massillon City,OUTDOOR,1800,32000
MONTGOMERY,Barclay Square Condos,"2419 Crew Circle, 45439",Dayton,OUTDOOR,714,32000
MONTGOMERY,Barclay Square Condos,2419 Crew Circle,Dayton,OUTDOOR,714,32000
MUSKINGUM,LA-Z-Acres,"6819 Newark Rd, 43830",Nashport,OUTDOOR,785,32000
STARK,Deville Villa Condo,2013 50th ST 44709,Noth Canton,OUTDOOR,800,32000
BUTLER,College Park - Hawks,"5262 Brown Rd, 45056",Oxford,OUTDOOR,1168,31985
CUYAHOGA,Barton Woods Condo - Pool,"5580 Barton Rd, 44070",N. Olmsted,OUTDOOR,568,31950
COLUMBUS CITY,Kimberly Court Apts.,"4121 Kimberly Pkwy, 43232",Columbus,OUTDOOR,1000,31875
KENT CITY,University Inn,"540 S. Water St., 44240",Kent,OUTDOOR,853,31850
COLUMBUS CITY,The Avenue at Polaris Apts,"8321 Seattle Ave, 43240",Columbus,OUTDOOR,1784,31810
HAMILTON,Tall Oaks Villa Apts,1126 Tall Oaks Dr,Harrison,OUTDOOR,1060,31800
ERIE,Huron Lagoons Marina,"100 Laguna Dr, 44839",Huron,OUTDOOR,1058,31779
LUCAS,Valley Stream Apts,"6400 Glenhurst, 43537",Maumee,OUTDOOR,985,31700
SHARONVILLE CITY,Waterstone Place,"11365 Lippelman Rd, 45246",Cincinnati,OUTDOOR,1782,31680
WARREN,Nottingdale Condo's Pool,"382 Wellington Ct., 45040",Mason,OUTDOOR,1156,31680
CINCINNATI CITY,Residences At Summit View,"2701 Lehman Rd, 45204",Cincinnati,OUTDOOR,800,31500
COLUMBUS CITY,Albany Reserve,"5675 Albany Reserve Dr., 43081",Westerville,OUTDOOR,1050,31500
COLUMBUS CITY,Austin Place,"1108 Carriage Knoll Lane, 43228",Columbus,OUTDOOR,985,31500
COLUMBUS CITY,Gables West,"2383 Silvercrest Lane, 43026",Columbus,OUTDOOR,985,31500
CLEVELAND CITY,Kenneth L. Johnson Indoor Pool,9206 Woodland,Cleveland,INDOOR,800,31425
WARREN,Creekwood of Landen Pool,"8139 Creekwood Pl, 45039",Maineville,OUTDOOR,1000,31416
CLEVELAND CITY,Judson Retirement - Pool,2181 Ambleside Dr,Cleveland,INDOOR,1061,31400
CLERMONT,Lila Chateau Apt.,"30 Chateau Pl., 45150",Milford,OUTDOOR,1000,31350
CLERMONT,Deer Pointe Apt.,"29 W. Main St., 45102",Amelia,OUTDOOR,800,31350
CLERMONT,Beechmont Village,"4101 Independence Dr, 45255",Cincinnati,OUTDOOR,800,31350
HANCOCK,Heritage Estates,"2820 Greenacre Dr., 45840",Findlay,OUTDOOR,1260,31332
LUCAS,Garden Arms Apts,"3529 Secor Rd, 43606",Toledo,OUTDOOR,2828,31290
COLUMBUS CITY,Cooperwoods,"3053 Highcliff Ct., 43231",Columbus,OUTDOOR,1040,31200
COLUMBUS CITY,The Reserve at Walnut Creek,"5930 Sunbury Rd, 43230",Gahanna,OUTDOOR,1040,31200
COLUMBUS CITY,The Ravines at Rocky Ridge,5700 Rocky Ridge Landings,Westerville,OUTDOOR,1040,31200
COLUMBUS CITY,The Ravines at Rocky Ridge,"5700 Rocky Ridge Landings Drive, 43081",Westerville,OUTDOOR,1040,31200
FRANKLIN,Residences at Central Park,800 Ellington Cir,Gahanna,OUTDOOR,1040,31200
HAMILTON CITY,Woodset Townhouse Condos,"2010 Sunset Dr., 45013",Hamilton,OUTDOOR,1320,31200
HAMILTON CITY,Priceton Square Apts,"414 Hampshire Dr, 45011",Hamilton,OUTDOOR,1040,31200
HAMILTON,Eaglenest Condos,"5255 N. Eaglesnest Dr., 45248",Cincinnati,OUTDOOR,600,31117
WARREN,Greycliff - Pool,"3373 Greycliff Trail, 45005",Franklin,OUTDOOR,1152,31117
HAMILTON CITY,Shadow Creek Apts.,7895 Shadow Creek Dr.,Hamilton,OUTDOOR,1035,31051
CUYAHOGA,Town House Condo Estates Pool,"27651 Lakeshore Blvd, 44132",Euclid,OUTDOOR,950,31000
GREENE,Rona Village- Beavercreek,Kewanna Lane,Beavercreek,OUTDOOR,1000,31000
HAMILTON,Westbrook Village Mobile Home,5747 Hamilton Cleves Rd,Cleves,OUTDOOR,1745,31000
LUCAS,Copper Cove Apts.,"1105 S. Wheeling St., 43616",Oregon,OUTDOOR,800,31000
PORTAGE,Springtree Property Owners,"175 Bryn Mawr St., 44266",Ravenna,OUTDOOR,1152,31000
TRUMBULL,Spring Run Condo,"123 N. Aspen Court, 44484",Warren,OUTDOOR,940,31000
WARREN,Sunrise Lake Club I,"559 Lakeshore Dr., 45039",Maineville,OUTDOOR,1032,30960
COLUMBUS CITY,Easton Commons,"4011 Easton Wy, 43219",Columbus,OUTDOOR,1125,30950
CUYAHOGA,FX Fitness - Broadview Heights,"7955 Broadview Rd, 44147",Broadview Hts,OUTDOOR,1120,30912
HAMILTON,Sterling Run Farm/Main Pool,"11801 Quarterhorse Ct., 45249",Cincinnati,OUTDOOR,1072,30810
DEFIANCE,Black Beard's Bay Activity Pool,1240 Ridenour Road,Edgerton,OUTDOOR,1175,30757
CUYAHOGA,Valley Forge Villas Pool,"10396 Valley Forge Rd, 44130",Parma Hts,OUTDOOR,758,30755
CINCINNATI CITY,North Vista Manor,"951 W. North Bend Rd, 45224",Cincinnati,OUTDOOR,820,30750
DEFIANCE,Defiance Area YMCA Therapy Pool,"1599 Palmer Dr, 43512",Defiance,INDOOR,1170,30712
MARION,Carriage Arms Apt. Pool,"399 Executive Dr, 43302",Marion,OUTDOOR,800,30610
ERIE,Maple Grove Marina,"1120 Vermilion Rd, 44089",Vermilion,OUTDOOR,800,30600
MONTGOMERY,Stillwater Park,"4158-A Pompton Court, 45405",Dayton,OUTDOOR,887,30563
LAKE,Lakeway Woods Apts,"5840 Buckeye Lane, 44060",Mentor,OUTDOOR,800,30500
LUCAS,Abbey Run,"3355 W. Alexis Rd,43623",Toledo,OUTDOOR,1100,30500
SHARONVILLE CITY,Lakewood Condo Assoc.,"7192 Lakewood Dr, 45241",Sharonville,OUTDOOR,1325,30500
CANTON CITY,Colonial Apartments,4835 Cranberry Ave,Canton,OUTDOOR,955,30455
CUYAHOGA,Crossing Condo Unit Owners Pool,"1390 Cedarwood Dr, 44145",Westlake,OUTDOOR,1015,30450
LUCAS,Reynolds Village,"961 S. Reynolds Rd, 43615",Toledo,OUTDOOR,900,30400
WOOD,Hawkesbridge Pool,"One Kingsview Dr, 43551",Perrysburg,OUTDOOR,1200,30400
HOCKING,Hocking Hills KOA,"29150 Pattor Rd, 43138",Logan,OUTDOOR,1038,30360
CUYAHOGA,Nob Hill Condo Owners Asso,"6000 Nob Hill Dr, 44022",Chagrin Falls,OUTDOOR,932,30247
SANDUSKY,Travelodge,"1750 Cedar St., 43420",Fremont,OUTDOOR,4740,30187
WARREN,Stonebridge at Settlers Walk,"285 Stolle Dr., 45066",Springboro,OUTDOOR,1007,30129
CINCINNATI CITY,Fountain Villa West,"5629 Macey Ave, 45227",Cincinnati,OUTDOOR,729,30071
Allen,R & K Gorby LLC dba Howard Johnson's,"1920 Roschman Rd, 45804",Lima,INDOOR,1140,30000
Allen,S & P Apartments,2350 N. Cole St.,Lima,OUTDOOR,1000,30000
ASHTABULA,Dav-Ed Motel,"5750 State Route 193, 44048",Kingsville,OUTDOOR,800,30000
ASHTABULA CITY,Brockway Northcoast Marina,"347 West 24th Street, 44004",Ashtabula,OUTDOOR,1200,30000
ATHENS,The Summit at Coates Run,"363 Richland Ave, 45701",Athens,OUTDOOR,960,30000
ATHENS,Grand Vista Village,"29 University Estates Blvd, 45701",Athens,OUTDOOR,700,30000
BUTLER,Lakes at West Chester,4700 Lakes Edge,West Chester,OUTDOOR,1200,30000
BUTLER,Brookside Terrace Apts,909 Arrowhead Dr.,Oxford,OUTDOOR,1080,30000
BUTLER,Villages of Fairfield,861 Govenor Dr.,Fairfield,OUTDOOR,1000,30000
BUTLER,Lake Princeton,"Columbia Circle, 45011",Hamilton,OUTDOOR,600,30000
CINCINNATI CITY,Clifton Colony Apts.,"601 Lowell Ave, 45220",Cinicinnati,OUTDOOR,920,30000
CINCINNATI CITY,Forum Apts.,"717 Martin Luther King Dr., 45220",Cincinnati,OUTDOOR,900,30000
CINCINNATI CITY,Mariners Landing Marina,"7405 Forbes Rd, 45233",Cincinnati,OUTDOOR,800,30000
CINCINNATI CITY,Slopes of Aspen Apts,"2714 Queen City Ave, 45238",Cincinnati,OUTDOOR,800,30000
CINCINNATI CITY,Slopes of Aspen Apts,2718 Queen City Av,Cincinnati,OUTDOOR,800,30000
CINCINNATI CITY,Summit View Apts.,"2650 Lehman Rd, 45204",Cincinnati,OUTDOOR,800,30000
CINCINNATI CITY,Summit View Apts.,"2650 Lehman Rd, 45204",Cincinnati,OUTDOOR,800,30000
CLARK,Red Coach Village Apts,"199 The Post Rd, 45503",Springfield,OUTDOOR,1000,30000
CLERMONT,Paxton East,1549 Georgetown 45140,Loveland,OUTDOOR,1000,30000
CLERMONT,Tanglewood,"6337 Dustywind Lane, 45140",Loveland,OUTDOOR,1000,30000
CLERMONT,Heatherstone Condo's,"200 Apple Way, 45103",Batavia,OUTDOOR,800,30000
COLUMBUS CITY,Northgate Apartments,"6175 Northgate Rd, 43229",Columbus,OUTDOOR,1800,30000
COLUMBUS CITY,Pendleton Lake East Apts.,"2727 Grand Haven Dr., 43068",Reynoldsburg,OUTDOOR,1560,30000
COLUMBUS CITY,Hibernia,"5680 Hibernia Dr, 43232",Columbus,OUTDOOR,1400,30000
COLUMBUS CITY,Apartments at Lake Ridge,2591 Goldenstrand Dr,Hilliard,OUTDOOR,1300,30000
COLUMBUS CITY,Lake Ridge,"2591 Goldenstrand Dr., 43026",Hilliard,OUTDOOR,1300,30000
COLUMBUS CITY,Karric Norh,"3970 Brelsford Ln, 43016",Dublin,OUTDOOR,1250,30000
COLUMBUS CITY,Meadow View,"3300 W Dublin Granville Rd, 43235",Columbus,OUTDOOR,1247,30000
COLUMBUS CITY,Wildberry Pool,"1156 Farmhurst Ln, 43204",Columbus,OUTDOOR,1200,30000
COLUMBUS CITY,Remington Station,"5415 Turtle Station Wy, 43081",Westerville,OUTDOOR,1150,30000
COLUMBUS CITY,Trouville Manor,"5646 Conifer Ct., 43081",Westerville,OUTDOOR,1150,30000
COLUMBUS CITY,Arbors of Watermark,"1951 Merganser Run Dr, 43215",Columbus,OUTDOOR,1118,30000
COLUMBUS CITY,Winterwood Apts,"4388 Walford St., 43224",Columbus,OUTDOOR,1050,30000
COLUMBUS CITY,Cabot Cove,"5535 Cabot Cove Dr., 43026",Hilliard,OUTDOOR,1000,30000
COLUMBUS CITY,Lexington Park #2,"2255 Country Corners Ln, 43220",Columbus,OUTDOOR,950,30000
COLUMBUS CITY,Raccoon Creek,"3819 W. Planetree Dr., 43228",Columbus,OUTDOOR,950,30000
COLUMBUS CITY,Sawmill Commons 4420,"2555 Summer Dr., 43016",Dublin,OUTDOOR,940,30000
COLUMBUS CITY,Fairway Lakes,"5191 Fairway Lakes Dr., 43081",Westerville,OUTDOOR,930,30000
COLUMBUS CITY,Stonehenge Apts,"435 Schrock Rd, 43085",Worthington,OUTDOOR,925,30000
COLUMBUS CITY,Olde Mill Lakes,"2677 Collinford Dr., 43017",Dublin,OUTDOOR,908,30000
COLUMBUS CITY,Colony Hills Recreation,"3071 Lavista Dr., 43204",Columbus,OUTDOOR,900,30000
COLUMBUS CITY,Governours Square Apts #2,"4763 Bentham Dr., 43220",Columbus,OUTDOOR,900,30000
COLUMBUS CITY,Jefferson Commons,"1150 Kinnear Rd, 43212",Columbus,OUTDOOR,900,30000
COLUMBUS CITY,Worthington Gardens,"5146 N. High St., 43214",Columbus,OUTDOOR,900,30000
COLUMBUS CITY,Rittenhouse Square #2,"5140 Schuylkill St., 43220",Columbus,OUTDOOR,850,30000
COLUMBUS CITY,Worthington Forest,"750 Worthington Forest Pl, 43229",Columbus,OUTDOOR,820,30000
COLUMBUS CITY,Village at Willow Brook,"960 Willow Bluff Dr., 43235",Columbus,OUTDOOR,800,30000
COLUMBUS CITY,Willowick Recreation Assoc.,"2107 Brookhurst Ave, 43229",Columbus,OUTDOOR,800,30000
COLUMBUS CITY,Lakes of Westdale,"1000 Lakewell Ct., 43119",Galloway,OUTDOOR,800,30000
CUYAHOGA,Mystic Creek-Pool,"6340 Stumph Rd, 44130",Parma,OUTDOOR,1300,30000
CUYAHOGA,Chestnut Lake Apts Pool,"17721 Whitney Rd, 44136",Strongsville,OUTDOOR,1250,30000
CUYAHOGA,Heritage House Condo Assn-Pool,"2885 Pease Dr, 44116",Rocky River,OUTDOOR,1200,30000
CUYAHOGA,Village Park Apt. - Pool,"919 Aintree Pk, 44143",Mayfield Village,OUTDOOR,1100,30000
CUYAHOGA,Walnut Hill Apts Pool,"12601 Walnut Hill Dr., 44133",N Royalton,OUTDOOR,1000,30000
CUYAHOGA,Mayfair Village Owners Assn- Pool,"1736 Wagar Rd, 44116",Rocky River,OUTDOOR,883,30000
ERIE,Beachwood Villas,"1507 Cleveland Rd East #40, 44839",Huron,OUTDOOR,900,30000
ERIE,Quality Lodge,"2218 Cleveland Rd, 44870",Sandusky,OUTDOOR,800,30000
ERIE,Lake Point Apts.,"1618 Remington Ave, 44870",Sandusky,OUTDOOR,775,30000
FAIRFIELD,Somerford Square Apts,"1250 Sheridan Dr, 43130",Lancaster,OUTDOOR,960,30000
FRANKLIN,Summit Chase Condo Pool,"1000 Urlin Ave, 43212",Grandview Heights,OUTDOOR,1500,30000
FRANKLIN,Hideaway Apts. Pool,"1363 Hideaway Woods Dr., 43081",Westerville,OUTDOOR,800,30000
FRANKLIN,Carriage Hill Arlington Pool,"1630 Oak Hill Rd, 43220",Upper Arlington,OUTDOOR,400,30000
GREENE,James Investment Research Inc.,"1349 Fairground Rd, 45385",Xenia,INDOOR,1000,30000
HAMILTON,Creekwood of Glendale Condos,"1 Creekwood Sq, 45246",Cincinnati,OUTDOOR,1100,30000
HAMILTON,Brookwood Retirement/Out-Pool,"12100 Reed Hartman Hwy, 45241",Cincinnati,OUTDOOR,1000,30000
HAMILTON,Fleming House Condo Assoc.,"1110 Springfield Pike, 45215",Cincinnati,OUTDOOR,678,30000
KENT CITY,Eagles Landing,"936 Morris Rd, 44240",Kent,OUTDOOR,800,30000
KNOX,Apple Valley Resort,"428 Clubhouse Dr, 43028",Howard,OUTDOOR,720,30000
LORAIN,Mario's Landing,"6417 W River Rd, 44089",Vermilion,OUTDOOR,1000,30000
LUCAS,Sandpiper,"5123 Ryan, 43614",Toledo,OUTDOOR,900,30000
LUCAS,Andover Apts.,"2647 Eastgate, 43614",Toldeo,OUTDOOR,300,30000
MADISON,Green Meadows Mobile Home Park,"1 Thornlocust Lane, 43140",London,OUTDOOR,1200,30000
MAHONING,Holiday Inn - Boardman (Pool),"7410 South Avenue, 44512",Boardman,INDOOR,1000,30000
MAHONING,Millcreek Village Apts.,6647 Lockwood Blvd,Youngstown,OUTDOOR,1000,30000
MAHONING,Mill Creek Woods Condos,1323 Redtail Hawk Ct.,Boardman,OUTDOOR,900,30000
